pre_group,post_group,syn_count
1° ACH interneuron,1° ACH interneuron,292
1° ACH interneuron,1° DA interneuron,78
1° ACH interneuron,1° GABA interneuron,233
1° ACH interneuron,1° GLUT interneuron,17
1° ACH interneuron,1° SER interneuron,10
1° ACH interneuron,2° ACH interneuron,287
1° ACH interneuron,2° DA interneuron,123
1° ACH interneuron,2° GABA interneuron,185
1° ACH interneuron,2° GLUT interneuron,170
1° ACH interneuron,2° SER interneuron,17
1° ACH interneuron,OviDN,21
1° DA interneuron,1° ACH interneuron,21
1° DA interneuron,1° DA interneuron,284
1° DA interneuron,1° GABA interneuron,1260
1° DA interneuron,1° GLUT interneuron,60
1° DA interneuron,1° SER interneuron,17
1° DA interneuron,2° ACH interneuron,3
1° DA interneuron,2° DA interneuron,409
1° DA interneuron,2° GABA interneuron,238
1° DA interneuron,2° GLUT interneuron,146
1° DA interneuron,2° SER interneuron,134
1° DA interneuron,CA,10
1° DA interneuron,OviDN,50
1° GABA interneuron,1° ACH interneuron,132
1° GABA interneuron,1° DA interneuron,235
1° GABA interneuron,1° GABA interneuron,121
1° GABA interneuron,1° GLUT interneuron,6
1° GABA interneuron,1° SER interneuron,25
1° GABA interneuron,2° ACH interneuron,440
1° GABA interneuron,2° DA interneuron,448
1° GABA interneuron,2° GABA interneuron,111
1° GABA interneuron,2° GLUT interneuron,207
1° GABA interneuron,2° SER interneuron,28
1° GABA interneuron,CA,3
1° GABA interneuron,OviDN,21
1° GLUT interneuron,1° ACH interneuron,378
1° GLUT interneuron,1° DA interneuron,90
1° GLUT interneuron,1° GABA interneuron,78
1° GLUT interneuron,1° SER interneuron,3
1° GLUT interneuron,2° ACH interneuron,86
1° GLUT interneuron,2° DA interneuron,76
1° GLUT interneuron,2° GABA interneuron,112
1° GLUT interneuron,2° GLUT interneuron,95
1° GLUT interneuron,OviDN,3
1° OCT interneuron,1° ACH interneuron,16
1° OCT interneuron,1° GABA interneuron,8
1° OCT interneuron,2° ACH interneuron,20
1° OCT interneuron,2° DA interneuron,3
1° OCT interneuron,2° GABA interneuron,22
1° SER interneuron,1° ACH interneuron,4
1° SER interneuron,1° DA interneuron,13
1° SER interneuron,2° ACH interneuron,15
1° SER interneuron,2° GABA interneuron,7
1° SER interneuron,2° GLUT interneuron,21
1° SER interneuron,2° SER interneuron,6
1° SER interneuron,CA,4
2° ACH interneuron,1° ACH interneuron,31
2° ACH interneuron,1° DA interneuron,322
2° ACH interneuron,1° GABA interneuron,229
2° ACH interneuron,1° GLUT interneuron,4
2° ACH interneuron,1° SER interneuron,16
2° ACH interneuron,2° ACH interneuron,41
2° ACH interneuron,2° DA interneuron,22
2° ACH interneuron,2° GABA interneuron,17
2° ACH interneuron,2° GLUT interneuron,20
2° ACH interneuron,2° SER interneuron,7
2° ACH interneuron,3° ACH interneuron,72
2° ACH interneuron,3° DA interneuron,15
2° ACH interneuron,3° GABA interneuron,274
2° ACH interneuron,3° GLUT interneuron,49
2° ACH interneuron,3° SER interneuron,76
2° ACH interneuron,CA,16
2° ACH interneuron,OviDN,121
2° DA interneuron,1° ACH interneuron,42
2° DA interneuron,1° DA interneuron,288
2° DA interneuron,1° GABA interneuron,97
2° DA interneuron,1° GLUT interneuron,32
2° DA interneuron,1° SER interneuron,3
2° DA interneuron,2° ACH interneuron,10
2° DA interneuron,2° DA interneuron,151
2° DA interneuron,2° GABA interneuron,44
2° DA interneuron,2° GLUT interneuron,160
2° DA interneuron,3° DA interneuron,91
2° DA interneuron,3° GABA interneuron,42
2° DA interneuron,3° GLUT interneuron,52
2° DA interneuron,3° SER interneuron,41
2° DA interneuron,CA,29
2° DA interneuron,OviDN,222
2° GABA interneuron,1° ACH interneuron,227
2° GABA interneuron,1° DA interneuron,272
2° GABA interneuron,1° GABA interneuron,3
2° GABA interneuron,1° GLUT interneuron,40
2° GABA interneuron,1° SER interneuron,27
2° GABA interneuron,2° ACH interneuron,99
2° GABA interneuron,2° DA interneuron,23
2° GABA interneuron,2° GLUT interneuron,49
2° GABA interneuron,2° SER interneuron,3
2° GABA interneuron,3° ACH interneuron,10
2° GABA interneuron,3° DA interneuron,27
2° GABA interneuron,3° GABA interneuron,9
2° GABA interneuron,3° GLUT interneuron,31
2° GABA interneuron,3° SER interneuron,31
2° GABA interneuron,CA,13
2° GLUT interneuron,1° DA interneuron,14
2° GLUT interneuron,1° GABA interneuron,7
2° GLUT interneuron,2° ACH interneuron,11
2° GLUT interneuron,2° DA interneuron,64
2° GLUT interneuron,2° GABA interneuron,3
2° GLUT interneuron,2° GLUT interneuron,108
2° GLUT interneuron,2° SER interneuron,5
2° GLUT interneuron,3° ACH interneuron,3
2° GLUT interneuron,3° DA interneuron,12
2° GLUT interneuron,3° GLUT interneuron,11
2° GLUT interneuron,3° SER interneuron,6
2° GLUT interneuron,CA,386
