direction,pre_root_id,post_root_id
ORN_to_OviDN,720575941498106697,720575941551129343
OviDN_to_ORN,720575941435871020,720575941451489914
ORN_to_OviDN,720575941517423097,720575941472725771
ORN_to_OviDN,720575941669349107,720575941480978400
CA_to_ORN,720575941596694823,720575941668979377
ORN_to_OviDN,720575941485815949,720575941492829104
ORN_to_OviDN,720575941499230689,720575941540445938
CA_to_OviDN,720575941614540819,720575941595083222
ORN_to_OviDN,720575941565405026,720575941687758092
ORN_to_OviDN,720575941445037994,720575941415657873
ORN_to_OviDN,720575941562877229,720575941447716116
ORN_to_OviDN,720575941539370133,720575941411131819
ORN_to_OviDN,720575941427702356,720575941530001893
OviDN_to_CA,720575941650640913,720575941608483914
ORN_to_OviDN,720575941476182833,720575941478599454
ORN_to_OviDN,720575941519202732,720575941626183323
ORN_to_OviDN,720575941497424071,720575941585819999
ORN_to_OviDN,720575941567885927,720575941478599454
ORN_to_OviDN,720575941640408607,720575941631149026
ORN_to_OviDN,720575941581203833,720575941450512718
ORN_to_OviDN,720575941590315518,720575941481225039
ORN_to_OviDN,720575941557433060,720575941515192899
ORN_to_OviDN,720575941458140397,720575941591148343
OviDN_to_ORN,720575941660512336,720575941617918677
OviDN_to_ORN,720575941565390695,720575941535022570
ORN_to_OviDN,720575941539369621,720575941598469276
ORN_to_OviDN,720575941562877229,720575941553097243
OviDN_to_ORN,720575941464398093,720575941474870068
ORN_to_OviDN,720575941629417273,720575941528134310
ORN_to_OviDN,720575941688684812,720575941480971427
OviDN_to_ORN,720575941537838056,720575941724182330
ORN_to_OviDN,720575941586608862,720575941538521832
ORN_to_OviDN,720575941579566681,720575941545827589
OviDN_to_ORN,720575941630676006,720575941723350074
ORN_to_OviDN,720575941520151212,720575941478590516
OviDN_to_ORN,720575941563347112,720575941492598476
ORN_to_OviDN,720575941522339507,720575941614589203
ORN_to_OviDN,720575941432037473,720575941478599454
OviDN_to_ORN,720575941691308952,720575941604056505
CA_to_ORN,720575941653756145,720575941520688819
ORN_to_OviDN,720575941645527378,720575941519202732
ORN_to_OviDN,720575941581862009,720575941481428303
ORN_to_OviDN,720575941471995456,720575941478599454
ORN_to_OviDN,720575941498206281,720575941575557883
OviDN_to_ORN,720575941573385544,720575941530093752
ORN_to_OviDN,720575941534788995,720575941463588240
ORN_to_OviDN,720575941496480711,720575941543514716
OviDN_to_ORN,720575941639495285,720575941535620018
ORN_to_OviDN,720575941496262855,720575941593782891
ORN_to_OviDN,720575941733588779,720575941607634285
ORN_to_OviDN,720575941532690149,720575941496984448
CA_to_ORN,720575941596694823,720575941644649889
ORN_to_OviDN,720575941483962822,720575941440304172
ORN_to_OviDN,720575941539369621,720575941451594830
ORN_to_OviDN,720575941583519071,720575941474871338
ORN_to_OviDN,720575941515171331,720575941632286188
ORN_to_OviDN,720575941519295598,720575941478599454
ORN_to_OviDN,720575941564659712,720575941565405026
OviDN_to_ORN,720575941600820521,720575941625906843
ORN_to_OviDN,720575941440284245,720575941646196385
CA_to_ORN,720575941613506989,720575941660013336
ORN_to_OviDN,720575941585819999,720575941593700459
ORN_to_OviDN,720575941550561341,720575941440304172
ORN_to_OviDN,720575941439888172,720575941431339768
ORN_to_OviDN,720575941681256637,720575941556727553
ORN_to_OviDN,720575941543514716,720575941570144244
OviDN_to_CA,720575941576507737,720575941408617519
OviDN_to_ORN,720575941613506989,720575941471419712
CA_to_ORN,720575941478599454,720575941564150440
ORN_to_OviDN,720575941690824667,720575941596694823
OviDN_to_ORN,720575941574107643,720575941504989015
ORN_to_OviDN,720575941459316383,720575941690148315
OviDN_to_ORN,720575941548246920,720575941538933219
ORN_to_OviDN,720575941590256695,720575941624365052
ORN_to_OviDN,720575941564087296,720575941512809938
ORN_to_OviDN,720575941500864418,720575941433155543
ORN_to_OviDN,720575941593053803,720575941664692860
ORN_to_OviDN,720575941595249189,720575941478599454
ORN_to_OviDN,720575941653526805,720575941689426927
ORN_to_OviDN,720575941513648739,720575941463808400
ORN_to_OviDN,720575941658668056,720575941474871338
ORN_to_OviDN,720575941452917882,720575941504802283
OviDN_to_ORN,720575941561384493,720575941550843937
ORN_to_OviDN,720575941466812246,720575941689967222
ORN_to_OviDN,720575941625906843,720575941617708501
OviDN_to_ORN,720575941532938674,720575941515107833
ORN_to_OviDN,720575941515808003,720575941596694823
OviDN_to_ORN,720575941472715531,720575941488236752
OviDN_to_ORN,720575941575688200,720575941498686587
ORN_to_OviDN,720575941477099057,720575941613704156
ORN_to_OviDN,720575941556996388,720575941432162808
ORN_to_OviDN,720575941645220513,720575941548246452
ORN_to_OviDN,720575941538559730,720575941551975679
ORN_to_OviDN,720575941579879925,720575941474918442
OviDN_to_ORN,720575941596694823,720575941587875550
ORN_to_OviDN,720575941451549562,720575941557120769
ORN_to_OviDN,720575941550089076,720575941575529359
ORN_to_OviDN,720575941432083593,720575941550702625
CA_to_ORN,720575941653756145,720575941473375117
ORN_to_OviDN,720575941599308841,720575941537841379
ORN_to_OviDN,720575941610490698,720575941606127550
OviDN_to_ORN,720575941474918442,720575941667081459
ORN_to_OviDN,720575941562575784,720575941545964393
CA_to_ORN,720575941504989015,720575941539808205
ORN_to_OviDN,720575941502256834,720575941586084230
OviDN_to_ORN,720575941594465320,720575941614581779
CA_to_ORN,720575941585819999,720575941463900429
ORN_to_OviDN,720575941488137424,720575941564887447
ORN_to_OviDN,720575941541908093,720575941628446521
OviDN_to_ORN,720575941496984448,720575941615180953
ORN_to_OviDN,720575941733588779,720575941645296289
ORN_to_OviDN,720575941478662250,720575941626043291
ORN_to_OviDN,720575941436154656,720575941570372722
ORN_to_OviDN,720575941474500923,720575941653756145
ORN_to_OviDN,720575941572689054,720575941525375844
ORN_to_OviDN,720575941653217813,720575941577599592
ORN_to_OviDN,720575941652989713,720575941431339768
