root_id,primary_type,additional_type(s)
720575940604891360,AN_GNG_PRW_3,
720575940605040300,LHAD1f4b,"LHAD1f4, pSP3"
720575940608471900,CB0627,hb702618710
720575940616404820,mAL4,mAL_fru
720575940626132030,LHAD1f4c,"LHAD1f4, pSP3"
720575940626941080,CB0541,
720575940627444490,CB0011,
720575940630546540,V_ilPN,
720575940635807130,VESa2_P01,SLP243
720575940637686750,VESa2_P01,SLP243
720575940614128691,CB0437,
720575940616127931,SLP236,
720575940622495401,AVLP315,
720575940624266061,PhG13,
720575940631275601,SLP236,
720575940632556831,AN_SLP_LH_1,hb422328492
720575940620445062,VP5+Z_adPN,
720575940623696362,AN_GNG_PRW_1,
720575940613524973,AN_multi_70,
720575940620038433,mAL_f2,"mAL2A, mAL2B, mAL_fru"
720575940620122503,AN_multi_96,
720575940628683063,CB0099,
720575940641284853,CB4188,
720575940642335373,CB0444,
720575940610956334,CL114,
720575940612708374,CB3660,"AVLP057, AVLP058"
720575940620553094,CB0159,
720575940622151704,SLPpm3_H01,"SMP551, pSP7"
720575940624928284,CB0183,
720575940625310014,SLP234,
720575940626617914,CB2145,"SLP283, SLP284"
720575940627110824,AVLP315,
720575940630606444,SLP216,
720575940636990064,SLP212c,SLP212
720575940645503854,CB0445,
720575940614635175,CB0159,
720575940617299515,CB0437,
720575940617539355,AN_GNG_PRW_1,
720575940622319715,SMP286,pMP5-pCd2
720575940623079095,mAL_f2,"mAL2A, mAL2B, mAL_fru"
720575940623207885,AN_GNG_PRW_3,
720575940631486765,CB1032,"SLP283, SLP284"
720575940633926295,AVLP443,
720575940635642725,CB0653,hb608166388
720575940637763135,CB0062,
720575940617898456,mAL_f2,"mAL2A, mAL2B, mAL_fru"
720575940642495176,CB2688,"LHAV6a10, LHAV6f1_b, LHAV6f2"
720575940647473796,SLP216,
720575940611411057,CB0653,hb608166388
720575940613511987,CB3660,"AVLP057, AVLP058"
720575940620157787,CB3464,"SLP261, SLP262"
720575940620670657,AN_multi_116,
720575940622335197,CB0407,
720575940623393357,LHAD1f4b,"LHAD1f4, pSP3"
720575940624007207,LHAD1f4b,"LHAD1f4, pSP3"
720575940628771587,SLP005,
720575940634090777,CB0183,
720575940649812857,AN_multi_18,
720575940612490958,SMP550,pSP7
720575940615626018,mAL_f2,"mAL2A, mAL2B, mAL_fru"
720575940622695448,CB0248,
720575940632603548,mAL_f2,"mAL2A, mAL2B, mAL_fru"
720575940637956698,SLP234,
720575940625005239,CB0627,hb702618710
720575940626622339,AN_GNG_PRW_4,
720575940629013199,CB0550,
720575940635210859,DNpe007,hb1343489608
