,pre_root_id,post_root_id,nt_type,syn_count,pre_group,post_group
0,720575940604395436,720575940620625880,ACH,7,Stanley ACh interneuron,OviDN
1,720575940604395436,720575940621257340,ACH,11,Stanley ACh interneuron,OviDN
2,720575940604395436,720575940642312136,ACH,5,Stanley ACh interneuron,OviDN
3,720575940604891360,720575940629013199,GABA,6,1° Unknown,2° GABA interneuron
4,720575940605040300,720575940642312136,GLUT,11,2° GLUT interneuron,OviDN
5,720575940608471900,720575940632512156,GABA,9,2° Unknown,OviDN
6,720575940610683315,720575940614128691,ACH,5,Ir94e,1° ACH interneuron
7,720575940610683315,720575940614635175,ACH,47,Ir94e,CB0159
8,720575940610683315,720575940617671285,ACH,19,Ir94e,GNG.SLP.T1 (L)
9,720575940610683315,720575940619034782,ACH,6,Ir94e,GNG.SLP.T2 (L)
10,720575940610683315,720575940620553094,ACH,61,Ir94e,CB0159
11,720575940610683315,720575940623696362,ACH,7,Ir94e,1° GABA interneuron
12,720575940610683315,720575940624079544,ACH,10,Ir94e,Ir94e
13,720575940610683315,720575940628198503,ACH,10,Ir94e,Ir94e
14,720575940610683315,720575940628683063,ACH,6,Ir94e,1° ACH interneuron
15,720575940610683315,720575940631082124,ACH,29,Ir94e,Ir94e
16,720575940610683315,720575940634090777,ACH,10,Ir94e,1° GABA interneuron
17,720575940610683315,720575940637956698,ACH,5,Ir94e,1° ACH interneuron
18,720575940610683315,720575940638218173,ACH,19,Ir94e,Ir94e
19,720575940610683315,720575940642335373,ACH,9,Ir94e,1° GABA interneuron
20,720575940610956334,720575940628771587,GABA,11,1° GABA interneuron,2° GLUT interneuron
21,720575940611411057,720575940613511987,GABA,22,1° GABA interneuron,2° GLUT interneuron
22,720575940611411057,720575940622495401,GABA,61,1° GABA interneuron,2° ACH interneuron
23,720575940611411057,720575940626617914,GABA,6,1° GABA interneuron,2° GLUT interneuron
24,720575940611411057,720575940627110824,GABA,78,1° GABA interneuron,2° ACH interneuron
25,720575940611411057,720575940630606444,GABA,7,1° GABA interneuron,2° GABA interneuron
26,720575940611849178,720575940611411057,ACH,5,Ir94e,1° GABA interneuron
27,720575940611849178,720575940614635175,ACH,73,Ir94e,CB0159
