Neuron,Group,Incoming,Outgoing
720575940628391686,GNG.SLP.T1 (R),0,0
720575940621647238,GNG.SLP.T1 (R),0,0
720575940631082124,IR94e,0,0
720575940626016017,IR94e,0,0
720575940614604962,GNG.SLP.T1 (R),0,0
720575940627815080,GNG.SLP.T1 (R),5,0
720575940610683315,IR94e,0,0
720575940624079544,IR94e,0,0
720575940615274425,IR94e,0,17
720575940632009784,GNG.SLP.T1 (R),0,0
720575940638218173,IR94e,0,0
720575940612920386,IR94e,0,7
720575940621044048,GNG.SLP.T1 (R),0,0
720575940617398745,GNG.SLP.T1 (R),0,0
720575940614211295,IR94e,0,5
720575940622913123,GNG.SLP.T1 (R),0,0
720575940626241636,IR94e,0,6
720575940616759014,GNG.SLP.T1 (R),35,0
720575940628198503,IR94e,0,5
720575940629837563,GNG.SLP.T1 (R),0,0
720575940621375231,IR94e,0,0
