Neuron,Group,Incoming,Outgoing
720575940660313729,GNG.SLP.T1 (L),0,0
720575940631082124,IR94e,0,24
720575940626016017,IR94e,0,9
720575940632556831,GNG.SLP.T1 (L),0,0
720575940610683315,IR94e,0,24
720575940635507380,GNG.SLP.T1 (L),0,0
720575940624079544,IR94e,0,66
720575940615274425,IR94e,0,42
720575940638218173,IR94e,0,16
720575940612920386,IR94e,0,54
720575940610698052,GNG.SLP.T1 (L),0,0
720575940637956698,GNG.SLP.T1 (L),100,0
720575940614211295,IR94e,0,69
720575940626241636,IR94e,0,50
720575940625298276,GNG.SLP.T1 (L),0,0
720575940628198503,IR94e,0,59
720575940624377323,GNG.SLP.T1 (L),0,0
720575940613524973,GNG.SLP.T1 (L),6,0
720575940639623795,GNG.SLP.T1 (L),0,0
720575940617671285,GNG.SLP.T1 (L),323,0
720575940649812857,GNG.SLP.T1 (L),0,0
720575940621375231,IR94e,0,16
