from_group,to_group,weight
Sugar-SELs,hop 1 acetylcholine interneuron,248
Sugar-SELs,hop 1 dopamine interneuron,5
Sugar-SELs,hop 1 gaba interneuron,29
Sugar-SELs,hop 1 glutamate interneuron,46
Sugar-SELs,hop 1 octopamine interneuron,5
Sugar-SELs,hop 1 serotonin interneuron,13
hop 1 acetylcholine interneuron,IPCs,513
hop 1 acetylcholine interneuron,hop 2 acetylcholine interneuron,59
hop 1 acetylcholine interneuron,hop 2 gaba interneuron,269
hop 1 acetylcholine interneuron,hop 2 glutamate interneuron,34
hop 1 acetylcholine interneuron,hop 2 serotonin interneuron,111
hop 1 dopamine interneuron,hop 2 gaba interneuron,9
hop 1 dopamine interneuron,hop 2 serotonin interneuron,7
hop 1 gaba interneuron,hop 2 acetylcholine interneuron,31
hop 1 gaba interneuron,hop 2 dopamine interneuron,11
hop 1 gaba interneuron,hop 2 gaba interneuron,105
hop 1 gaba interneuron,hop 2 glutamate interneuron,21
hop 1 gaba interneuron,hop 2 serotonin interneuron,30
hop 1 glutamate interneuron,IPCs,17
hop 1 glutamate interneuron,hop 2 acetylcholine interneuron,12
hop 1 glutamate interneuron,hop 2 gaba interneuron,12
hop 1 glutamate interneuron,hop 2 glutamate interneuron,10
hop 1 glutamate interneuron,hop 2 serotonin interneuron,45
hop 1 octopamine interneuron,hop 2 gaba interneuron,8
hop 1 octopamine interneuron,hop 2 glutamate interneuron,12
hop 1 serotonin interneuron,hop 2 gaba interneuron,11
hop 1 serotonin interneuron,hop 2 serotonin interneuron,5
hop 2 acetylcholine interneuron,IPCs,143
hop 2 dopamine interneuron,IPCs,10
hop 2 gaba interneuron,IPCs,25
hop 2 glutamate interneuron,IPCs,808
hop 2 serotonin interneuron,IPCs,59
