from_group,to_group,weight
Sugar GRNs,hop 1 acetylcholine interneuron,1865
hop 1 gaba interneuron,hop 2 acetylcholine interneuron,1583
hop 1 acetylcholine interneuron,hop 2 acetylcholine interneuron,1436
hop 3 glutamate interneuron,IPCs,1399
Sugar GRNs,hop 1 gaba interneuron,1380
hop 3 acetylcholine interneuron,IPCs,705
hop 1 acetylcholine interneuron,hop 2 gaba interneuron,671
hop 1 acetylcholine interneuron,hop 2 glutamate interneuron,488
hop 2 acetylcholine interneuron,hop 3 glutamate interneuron,472
hop 1 glutamate interneuron,hop 2 acetylcholine interneuron,430
hop 1 glutamate interneuron,hop 1 acetylcholine interneuron,395
hop 1 acetylcholine interneuron,hop 1 acetylcholine interneuron,388
hop 2 glutamate interneuron,hop 3 glutamate interneuron,353
hop 1 acetylcholine interneuron,hop 1 gaba interneuron,307
hop 2 acetylcholine interneuron,hop 3 serotonin interneuron,281
hop 3 gaba interneuron,IPCs,254
hop 2 acetylcholine interneuron,hop 3 acetylcholine interneuron,243
hop 2 acetylcholine interneuron,IPCs,223
hop 2 acetylcholine interneuron,hop 3 gaba interneuron,210
hop 1 glutamate interneuron,hop 2 glutamate interneuron,193
hop 1 gaba interneuron,hop 1 glutamate interneuron,190
hop 2 gaba interneuron,hop 3 acetylcholine interneuron,161
hop 1 gaba interneuron,hop 2 gaba interneuron,155
hop 2 glutamate interneuron,hop 3 gaba interneuron,154
hop 2 gaba interneuron,hop 3 serotonin interneuron,121
hop 1 acetylcholine interneuron,hop 2 dopamine interneuron,120
Sugar GRNs,hop 1 dopamine interneuron,118
hop 1 acetylcholine interneuron,hop 2 serotonin interneuron,117
hop 2 serotonin interneuron,hop 3 glutamate interneuron,109
hop 1 gaba interneuron,hop 1 acetylcholine interneuron,108
hop 2 gaba interneuron,hop 3 glutamate interneuron,93
hop 1 glutamate interneuron,hop 2 gaba interneuron,89
hop 2 glutamate interneuron,hop 3 acetylcholine interneuron,83
hop 1 gaba interneuron,hop 2 glutamate interneuron,82
hop 2 acetylcholine interneuron,hop 2 gaba interneuron,77
hop 1 glutamate interneuron,hop 2 serotonin interneuron,62
hop 2 gaba interneuron,hop 2 gaba interneuron,62
hop 2 acetylcholine interneuron,hop 2 serotonin interneuron,55
hop 2 gaba interneuron,IPCs,50
hop 1 glutamate interneuron,hop 2 dopamine interneuron,49
hop 1 dopamine interneuron,hop 2 acetylcholine interneuron,48
hop 1 gaba interneuron,hop 2 octopamine interneuron,47
hop 3 serotonin interneuron,IPCs,45
hop 1 acetylcholine interneuron,hop 1 glutamate interneuron,43
hop 2 serotonin interneuron,IPCs,43
hop 1 gaba interneuron,hop 2 serotonin interneuron,41
hop 2 glutamate interneuron,IPCs,40
hop 2 serotonin interneuron,hop 3 serotonin interneuron,39
Sugar GRNs,hop 1 glutamate interneuron,37
hop 1 serotonin interneuron,hop 2 acetylcholine interneuron,31
hop 2 glutamate interneuron,hop 2 gaba interneuron,27
hop 1 gaba interneuron,hop 1 gaba interneuron,24
hop 1 dopamine interneuron,hop 2 gaba interneuron,23
hop 2 acetylcholine interneuron,hop 2 acetylcholine interneuron,23
hop 2 glutamate interneuron,hop 2 serotonin interneuron,21
hop 2 gaba interneuron,hop 3 gaba interneuron,21
hop 2 dopamine interneuron,hop 2 gaba interneuron,20
hop 2 glutamate interneuron,hop 3 serotonin interneuron,16
hop 1 serotonin interneuron,hop 2 serotonin interneuron,14
hop 1 acetylcholine interneuron,hop 2 octopamine interneuron,13
hop 1 glutamate interneuron,hop 1 gaba interneuron,9
Sugar GRNs,hop 1 serotonin interneuron,8
hop 1 glutamate interneuron,hop 1 glutamate interneuron,7
hop 2 octopamine interneuron,hop 3 glutamate interneuron,6
hop 2 gaba interneuron,hop 3 dopamine interneuron,6
hop 1 acetylcholine interneuron,hop 3 acetylcholine interneuron,5
hop 2 serotonin interneuron,hop 2 acetylcholine interneuron,5
hop 1 serotonin interneuron,hop 2 gaba interneuron,5
hop 3 dopamine interneuron,IPCs,5
hop 2 dopamine interneuron,hop 3 serotonin interneuron,5
