From,To,Neuropil,Synapses,Neuro Transmitter
720575940629861163,720575940620625880,SLP_L,37,GABA
720575940629861163,720575940620625880,PVLP_L,6,GABA
720575940629861163,720575940620625880,PLP_L,2,GABA
720575940629861163,720575940620625880,LH_L,5,GABA
720575940629861163,720575940620625880,SCL_L,20,GABA
720575940629861163,720575940621257340,SCL_L,11,GABA
720575940629861163,720575940621257340,LH_L,3,GABA
720575940629861163,720575940621257340,SLP_L,7,GABA
720575940629861163,720575940627921182,SLP_L,5,GABA
720575940629861163,720575940627921182,PVLP_L,2,GABA
720575940629861163,720575940627921182,SCL_L,4,GABA
