Sugar GRN,weight_grn_i1,pre_group,post_group,I1,I2,weight_i1_i2,weight_i2_i3,I3,IPC,weight_i3_ipc,path_length
720575940639198653,76,Sugar GRNs,,720575940655014049,720575940611549902,44,6,720575940623040094,720575940612923390,7,4
720575940639198653,76,Sugar GRNs,,720575940655014049,720575940611549902,44,6,720575940623040094,720575940615043112,5,4
720575940639198653,76,Sugar GRNs,,720575940655014049,720575940635210859,8,7,720575940631309866,720575940611254681,8,4
720575940639259967,71,Sugar GRNs,,720575940655014049,720575940611549902,44,6,720575940623040094,720575940612923390,7,4
720575940639259967,71,Sugar GRNs,,720575940655014049,720575940611549902,44,6,720575940623040094,720575940615043112,5,4
720575940639259967,71,Sugar GRNs,,720575940655014049,720575940635210859,8,7,720575940631309866,720575940611254681,8,4
720575940632425919,67,Sugar GRNs,,720575940655014049,720575940611549902,44,6,720575940623040094,720575940612923390,7,4
720575940632425919,67,Sugar GRNs,,720575940655014049,720575940611549902,44,6,720575940623040094,720575940615043112,5,4
720575940632425919,67,Sugar GRNs,,720575940655014049,720575940635210859,8,7,720575940631309866,720575940611254681,8,4
720575940633143833,58,Sugar GRNs,,720575940623210445,720575940611549902,11,6,720575940623040094,720575940615043112,5,4
720575940633143833,58,Sugar GRNs,,720575940623210445,720575940645039383,5,5,720575940623040094,720575940615043112,5,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940647606148,13,6,720575940622160705,720575940628363820,5,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940650527222,56,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940603765280,45,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940615043112,44,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940612923390,36,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940625379859,31,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940622897639,30,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940628199802,28,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940643539566,27,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940620628957,27,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940631884883,26,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940624064295,25,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940632436307,25,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940623081400,24,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940628363820,22,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940618694827,17,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940614623455,17,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940611254681,13,4
720575940630797113,44,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940615911380,6,4
720575940633143833,41,Sugar GRNs,,720575940655014049,720575940611549902,44,6,720575940623040094,720575940615043112,5,4
720575940633143833,41,Sugar GRNs,,720575940655014049,720575940635210859,8,7,720575940631309866,720575940611254681,8,4
720575940610788069,38,Sugar GRNs,,720575940626191306,720575940647606148,13,6,720575940622160705,720575940628363820,5,4
720575940610788069,38,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940650527222,56,4
720575940610788069,38,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940603765280,45,4
720575940610788069,38,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940615043112,44,4
720575940610788069,38,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940612923390,36,4
720575940610788069,38,Sugar GRNs,,720575940626191306,720575940626308697,6,84,720575940610708430,720575940625379859,31,4
