From,To,Neuropil,Synapses,Neuro Transmitter
720575940626241636,720575940617671285,GNG,45,ACH
720575940626241636,720575940617671285,SAD,1,ACH
720575940626241636,720575940617671285,PRW,4,ACH
720575940614211295,720575940617671285,PRW,6,ACH
720575940614211295,720575940617671285,GNG,42,ACH
720575940638218173,720575940631082124,GNG,40,ACH
720575940638218173,720575940631082124,PRW,2,ACH
720575940615274425,720575940617671285,PRW,6,ACH
720575940615274425,720575940617671285,FLA_L,1,ACH
720575940615274425,720575940617671285,GNG,33,ACH
720575940615274425,720575940617671285,SAD,2,ACH
720575940624079544,720575940617671285,GNG,39,ACH
720575940612920386,720575940617671285,PRW,4,ACH
720575940612920386,720575940617671285,GNG,34,ACH
720575940631082124,720575940638218173,GNG,35,ACH
720575940614211295,720575940612920386,PRW,3,ACH
720575940614211295,720575940612920386,GNG,31,ACH
720575940624079544,720575940628198503,GNG,33,ACH
720575940621375231,720575940638218173,PRW,3,ACH
720575940621375231,720575940638218173,GNG,29,ACH
720575940628198503,720575940637956698,GNG,31,ACH
720575940621375231,720575940631082124,PRW,4,ACH
720575940621375231,720575940631082124,GNG,27,ACH
720575940628198503,720575940624079544,GNG,29,ACH
720575940610683315,720575940631082124,GNG,29,ACH
720575940612920386,720575940628198503,GNG,29,ACH
720575940631082124,720575940621375231,GNG,29,ACH
720575940638218173,720575940621375231,PRW,1,ACH
720575940638218173,720575940621375231,GNG,27,ACH
720575940628198503,720575940617671285,GNG,28,ACH
720575940621375231,720575940610683315,GNG,27,ACH
720575940624079544,720575940637956698,GNG,27,ACH
720575940624377323,720575940610698052,SLP_R,7,ACH
720575940624377323,720575940610698052,FLA_L,1,ACH
720575940624377323,720575940610698052,SLP_L,15,ACH
720575940624377323,720575940610698052,PVLP_L,1,ACH
720575940624377323,720575940610698052,LH_L,2,ACH
720575940610683315,720575940621375231,GNG,25,ACH
720575940610683315,720575940621375231,PRW,1,ACH
720575940624079544,720575940612920386,GNG,25,ACH
720575940638218173,720575940610683315,PRW,1,ACH
720575940638218173,720575940610683315,GNG,23,ACH
720575940612920386,720575940614211295,GNG,23,ACH
720575940612920386,720575940614211295,PRW,1,ACH
720575940610683315,720575940626016017,GNG,24,ACH
720575940614211295,720575940624079544,GNG,23,ACH
720575940610698052,720575940624377323,GNG,8,ACH
720575940610698052,720575940624377323,SLP_R,2,ACH
720575940610698052,720575940624377323,SLP_L,9,ACH
720575940610698052,720575940624377323,SAD,1,ACH
720575940610698052,720575940624377323,LH_L,2,ACH
720575940631082124,720575940626016017,GNG,20,ACH
720575940631082124,720575940626016017,PRW,1,ACH
720575940660313729,720575940632556831,PLP_L,1,ACH
720575940660313729,720575940632556831,LH_L,2,ACH
720575940660313729,720575940632556831,SLP_L,18,ACH
720575940628198503,720575940631082124,GNG,21,ACH
720575940638218173,720575940626016017,PRW,1,ACH
720575940638218173,720575940626016017,GNG,19,ACH
