Sugar-SEL,weight_grn_i1,pre_group,post_group,I1,I2,weight_i1_i2,weight_i2_ipc,IPC,path_length
720575940636895406,34,Sugar-SELs,,720575940620506996,720575940621490721,69,8,720575940632436307,3
720575940636895406,34,Sugar-SELs,,720575940620506996,720575940614950194,10,9,720575940628363820,3
720575940636895406,34,Sugar-SELs,,720575940620506996,720575940614950194,10,5,720575940625379859,3
720575940636895406,34,Sugar-SELs,,720575940620506996,720575940624608442,8,8,720575940650527222,3
720575940636895406,34,Sugar-SELs,,720575940620506996,720575940624608442,8,6,720575940628363820,3
720575940636895406,34,Sugar-SELs,,720575940620506996,720575940624608442,8,5,720575940603765280,3
720575940636895406,34,Sugar-SELs,,720575940620506996,720575940623040094,6,7,720575940612923390,3
720575940636895406,34,Sugar-SELs,,720575940620506996,720575940623040094,6,5,720575940615043112,3
720575940635239672,28,Sugar-SELs,,720575940620506996,720575940621490721,69,8,720575940632436307,3
720575940635239672,28,Sugar-SELs,,720575940620506996,720575940614950194,10,9,720575940628363820,3
720575940635239672,28,Sugar-SELs,,720575940620506996,720575940614950194,10,5,720575940625379859,3
720575940635239672,28,Sugar-SELs,,720575940620506996,720575940624608442,8,8,720575940650527222,3
720575940635239672,28,Sugar-SELs,,720575940620506996,720575940624608442,8,6,720575940628363820,3
720575940635239672,28,Sugar-SELs,,720575940620506996,720575940624608442,8,5,720575940603765280,3
720575940635239672,28,Sugar-SELs,,720575940620506996,720575940623040094,6,7,720575940612923390,3
720575940635239672,28,Sugar-SELs,,720575940620506996,720575940623040094,6,5,720575940615043112,3
720575940635239672,28,Sugar-SELs,,720575940613747734,720575940622834411,10,7,720575940612923390,3
720575940636895406,24,Sugar-SELs,,720575940613747734,720575940622834411,10,7,720575940612923390,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940623777065,40,5,720575940615043112,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940622160705,23,5,720575940628363820,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940625053773,9,6,720575940615043112,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940625053773,9,5,720575940603765280,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940615871967,7,9,720575940643539566,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940615871967,7,6,720575940618694827,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940615871967,7,6,720575940615911380,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940615871967,7,5,720575940612923390,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,56,720575940650527222,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,45,720575940603765280,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,44,720575940615043112,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,36,720575940612923390,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,31,720575940625379859,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,30,720575940622897639,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,28,720575940628199802,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,27,720575940643539566,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,27,720575940620628957,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,26,720575940631884883,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,25,720575940624064295,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,25,720575940632436307,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,24,720575940623081400,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,22,720575940628363820,3
720575940635239672,19,Sugar-SELs,,720575940635527092,720575940610708430,6,17,720575940618694827,3
