Sugar-SEL,IPC,hops
720575940635239672,720575940650527222,3
720575940636895406,720575940650527222,3
720575940635239672,720575940603765280,3
720575940636895406,720575940603765280,3
720575940635239672,720575940612923390,3
720575940636895406,720575940612923390,3
720575940635239672,720575940628363820,3
720575940636895406,720575940628363820,3
720575940635239672,720575940611254681,3
720575940636895406,720575940611254681,3
720575940635239672,720575940631884883,3
720575940636895406,720575940631884883,3
720575940635239672,720575940643539566,3
720575940636895406,720575940643539566,3
720575940635239672,720575940622897639,3
720575940636895406,720575940622897639,3
720575940635239672,720575940625379859,3
720575940636895406,720575940625379859,3
720575940635239672,720575940615911380,3
720575940636895406,720575940615911380,3
720575940635239672,720575940623081400,3
720575940636895406,720575940623081400,3
720575940635239672,720575940615043112,3
720575940636895406,720575940615043112,3
720575940635239672,720575940628199802,3
720575940636895406,720575940628199802,3
720575940635239672,720575940618694827,3
720575940636895406,720575940618694827,3
720575940635239672,720575940632436307,3
720575940636895406,720575940632436307,3
720575940635239672,720575940614623455,3
720575940636895406,720575940614623455,3
720575940635239672,720575940624064295,3
720575940636895406,720575940624064295,3
720575940635239672,720575940620628957,3
720575940636895406,720575940620628957,3
