Sugar-SEL,I1,weight_grn_i1,pre_group,post_group,pre_y,IPC,weight_i1_ipc,path_length
720575940612289010,720575940624987394,12,Sugar-SELs,,720575940624987394,720575940603765280,7,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940632436307,23,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940611254681,22,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940603765280,17,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940618694827,16,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940643539566,16,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940615043112,16,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940622897639,16,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940628363820,15,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940628199802,13,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940650527222,12,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940620628957,11,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940612923390,9,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940614623455,9,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940625379859,9,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940623081400,9,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940615911380,7,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940624064295,7,2
720575940622474899,720575940621942021,7,Sugar-SELs,,720575940621942021,720575940631884883,5,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940611254681,24,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940632436307,23,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940612923390,20,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940615043112,20,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940650527222,19,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940625379859,18,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940628199802,18,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940622897639,17,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940643539566,16,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940620628957,16,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940618694827,14,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940614623455,13,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940615911380,13,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940631884883,11,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940624064295,11,2
720575940612289010,720575940606137632,7,Sugar-SELs,,720575940606137632,720575940603765280,11,2
720575940612289010,720575940626146125,6,Sugar-SELs,,720575940626146125,720575940650527222,11,2
720575940612289010,720575940626146125,6,Sugar-SELs,,720575940626146125,720575940622897639,6,2
720575940622474899,720575940621602743,5,Sugar-SELs,,720575940621602743,720575940603765280,5,2
720575940622474899,720575940621602743,5,Sugar-SELs,,720575940621602743,720575940632436307,5,2
