Sugar-SEL,IPC,hops
720575940612289010,720575940650527222,2
720575940622474899,720575940650527222,2
720575940612289010,720575940603765280,2
720575940622474899,720575940603765280,2
720575940612289010,720575940612923390,2
720575940622474899,720575940612923390,2
720575940612289010,720575940628363820,2
720575940622474899,720575940628363820,2
720575940612289010,720575940611254681,2
720575940622474899,720575940611254681,2
720575940612289010,720575940631884883,2
720575940622474899,720575940631884883,2
720575940612289010,720575940643539566,2
720575940622474899,720575940643539566,2
720575940612289010,720575940622897639,2
720575940622474899,720575940622897639,2
720575940612289010,720575940625379859,2
720575940622474899,720575940625379859,2
720575940612289010,720575940615911380,2
720575940622474899,720575940615911380,2
720575940612289010,720575940623081400,2
720575940622474899,720575940623081400,2
720575940612289010,720575940615043112,2
720575940622474899,720575940615043112,2
720575940612289010,720575940628199802,2
720575940622474899,720575940628199802,2
720575940612289010,720575940618694827,2
720575940622474899,720575940618694827,2
720575940612289010,720575940632436307,2
720575940622474899,720575940632436307,2
720575940612289010,720575940614623455,2
720575940622474899,720575940614623455,2
720575940612289010,720575940624064295,2
720575940622474899,720575940624064295,2
720575940612289010,720575940620628957,2
720575940622474899,720575940620628957,2
