group,root_id
1° ACH interneuron,"[720575940613524973, 720575940614128691, 720575940617299515, 720575940622335197, 720575940624266061, 720575940625310014, 720575940628683063, 720575940637956698, 720575940645503854]"
1° GABA interneuron,"[720575940610956334, 720575940611411057, 720575940617539355, 720575940622695448, 720575940623696362, 720575940624928284, 720575940626622339, 720575940626941080, 720575940627444490, 720575940634090777, 720575940635642725, 720575940637763135, 720575940642335373]"
1° GLUT interneuron,"[720575940616404820, 720575940641284853]"
1° SER interneuron,[720575940635210859]
1° Unknown,"[720575940604891360, 720575940623207885]"
2° ACH interneuron,"[720575940612490958, 720575940616127931, 720575940620122503, 720575940620670657, 720575940622151704, 720575940622495401, 720575940627110824, 720575940630546540, 720575940631275601, 720575940632556831, 720575940633926295, 720575940642495176, 720575940649812857]"
2° GABA interneuron,"[720575940615626018, 720575940617898456, 720575940620038433, 720575940623079095, 720575940625005239, 720575940629013199, 720575940630606444, 720575940632603548, 720575940635807130, 720575940637686750, 720575940647473796]"
2° GLUT interneuron,"[720575940605040300, 720575940612708374, 720575940613511987, 720575940620157787, 720575940623393357, 720575940624007207, 720575940626132030, 720575940626617914, 720575940628771587, 720575940631486765]"
2° Unknown,"[720575940608471900, 720575940622319715, 720575940636990064]"
CB0159,"[720575940614635175, 720575940620553094]"
Earmuff,[720575940629861163]
GNG.SLP.T1 (L),[720575940617671285]
GNG.SLP.T1 (R),[720575940616759014]
GNG.SLP.T2 (L),[720575940619034782]
GNG.SLP.T2 (R),[720575940623507273]
Ir94e,"[720575940621375231, 720575940638218173, 720575940626016017, 720575940631082124, 720575940610683315, 720575940612920386, 720575940614211295, 720575940624079544, 720575940628198503, 720575940627438906, 720575940625450498, 720575940621898665, 720575940627402568, 720575940643065032, 720575940611849178, 720575940637747519, 720575940625696601, 720575940638813016]"
OviDN,"[720575940632512156, 720575940620625880, 720575940621257340, 720575940627921182, 720575940642312136]"
Stanley ACh interneuron,"[720575940637878854, 720575940617406548, 720575940616187754, 720575940621698542, 720575940604395436]"
Stanley Glu interneuron,"[720575940631371991, 720575940624247787, 720575940637861294]"
VP5+Z_adPN,[720575940620445062]
