from,to,weight,from_group,to_group
720575940624987394,720575940603765280,7,hop 1 glutamate interneuron,IPCs
720575940621942021,720575940632436307,23,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940611254681,22,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940603765280,17,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940618694827,16,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940643539566,16,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940615043112,16,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940622897639,16,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940628363820,15,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940628199802,13,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940650527222,12,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940620628957,11,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940612923390,9,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940614623455,9,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940625379859,9,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940623081400,9,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940615911380,7,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940624064295,7,hop 1 acetylcholine interneuron,IPCs
720575940621942021,720575940631884883,5,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940611254681,24,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940632436307,23,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940612923390,20,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940615043112,20,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940650527222,19,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940625379859,18,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940628199802,18,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940622897639,17,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940643539566,16,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940620628957,16,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940618694827,14,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940614623455,13,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940615911380,13,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940631884883,11,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940624064295,11,hop 1 acetylcholine interneuron,IPCs
720575940606137632,720575940603765280,11,hop 1 acetylcholine interneuron,IPCs
720575940626146125,720575940650527222,11,hop 1 acetylcholine interneuron,IPCs
720575940626146125,720575940622897639,6,hop 1 acetylcholine interneuron,IPCs
720575940621602743,720575940603765280,5,hop 1 glutamate interneuron,IPCs
720575940621602743,720575940632436307,5,hop 1 glutamate interneuron,IPCs
720575940621490721,720575940632436307,8,hop 2 gaba interneuron,IPCs
720575940614950194,720575940628363820,9,hop 2 acetylcholine interneuron,IPCs
720575940614950194,720575940625379859,5,hop 2 acetylcholine interneuron,IPCs
720575940624608442,720575940650527222,8,hop 2 acetylcholine interneuron,IPCs
720575940624608442,720575940628363820,6,hop 2 acetylcholine interneuron,IPCs
720575940624608442,720575940603765280,5,hop 2 acetylcholine interneuron,IPCs
720575940623040094,720575940612923390,7,hop 2 acetylcholine interneuron,IPCs
720575940623040094,720575940615043112,5,hop 2 acetylcholine interneuron,IPCs
720575940622834411,720575940612923390,7,hop 2 acetylcholine interneuron,IPCs
720575940623777065,720575940615043112,5,hop 2 gaba interneuron,IPCs
720575940622160705,720575940628363820,5,hop 2 gaba interneuron,IPCs
720575940625053773,720575940615043112,6,hop 2 serotonin interneuron,IPCs
720575940625053773,720575940603765280,5,hop 2 serotonin interneuron,IPCs
720575940615871967,720575940643539566,9,hop 2 serotonin interneuron,IPCs
720575940615871967,720575940618694827,6,hop 2 serotonin interneuron,IPCs
720575940615871967,720575940615911380,6,hop 2 serotonin interneuron,IPCs
720575940615871967,720575940612923390,5,hop 2 serotonin interneuron,IPCs
720575940610708430,720575940650527222,56,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940603765280,45,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940615043112,44,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940612923390,36,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940625379859,31,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940622897639,30,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940628199802,28,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940643539566,27,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940620628957,27,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940631884883,26,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940624064295,25,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940632436307,25,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940623081400,24,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940628363820,22,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940618694827,17,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940614623455,17,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940611254681,13,hop 2 glutamate interneuron,IPCs
720575940610708430,720575940615911380,6,hop 2 glutamate interneuron,IPCs
720575940631309866,720575940611254681,8,hop 2 serotonin interneuron,IPCs
720575940610384281,720575940632436307,10,hop 2 glutamate interneuron,IPCs
720575940631008824,720575940643539566,53,hop 2 glutamate interneuron,IPCs
720575940631008824,720575940615043112,40,hop 2 glutamate interneuron,IPCs
720575940631008824,720575940628199802,34,hop 2 glutamate interneuron,IPCs
720575940631008824,720575940625379859,33,hop 2 glutamate interneuron,IPCs
720575940631008824,720575940611254681,33,hop 2 glutamate interneuron,IPCs
720575940631008824,720575940612923390,28,hop 2 glutamate interneuron,IPCs
720575940631008824,720575940618694827,22,hop 2 glutamate interneuron,IPCs
720575940631008824,720575940624064295,21,hop 2 glutamate interneuron,IPCs
720575940631008824,720575940631884883,20,hop 2 glutamate interneuron,IPCs
720575940631008824,720575940615911380,9,hop 2 glutamate interneuron,IPCs
720575940631008824,720575940632436307,6,hop 2 glutamate interneuron,IPCs
720575940606720265,720575940612923390,5,hop 2 acetylcholine interneuron,IPCs
720575940634721761,720575940650527222,5,hop 2 acetylcholine interneuron,IPCs
720575940634721761,720575940643539566,5,hop 2 acetylcholine interneuron,IPCs
720575940622119861,720575940632436307,6,hop 2 acetylcholine interneuron,IPCs
720575940628903895,720575940623081400,7,hop 2 gaba interneuron,IPCs
720575940605030316,720575940615043112,5,hop 2 dopamine interneuron,IPCs
720575940607000450,720575940622897639,5,hop 2 dopamine interneuron,IPCs
720575940618413295,720575940622897639,10,hop 2 acetylcholine interneuron,IPCs
720575940618413295,720575940650527222,10,hop 2 acetylcholine interneuron,IPCs
720575940618413295,720575940603765280,8,hop 2 acetylcholine interneuron,IPCs
720575940618413295,720575940620628957,7,hop 2 acetylcholine interneuron,IPCs
720575940618413295,720575940615043112,7,hop 2 acetylcholine interneuron,IPCs
720575940618413295,720575940614623455,6,hop 2 acetylcholine interneuron,IPCs
720575940618413295,720575940612923390,5,hop 2 acetylcholine interneuron,IPCs
720575940619846932,720575940628363820,7,hop 2 acetylcholine interneuron,IPCs
720575940619846932,720575940628199802,5,hop 2 acetylcholine interneuron,IPCs
720575940626021052,720575940628199802,9,hop 2 serotonin interneuron,IPCs
720575940626021052,720575940618694827,5,hop 2 serotonin interneuron,IPCs
720575940634923700,720575940650527222,5,hop 2 acetylcholine interneuron,IPCs
