out_weight,in_weight,total_weight,cell_type,nt_type
6,15,21,AN_GNG_PRW_3,GABA
11,6,17,LHAD1f4b,GLUT
9,47,56,CB0627,GABA
11,11,22,CL114,GABA
174,30,204,CB0653,GABA
202,182,384,SMP550,ACH
6,37,43,CB3660,GLUT
5,22,27,CB3660,GLUT
28,6,34,AN_multi_70,ACH
54,72,126,CB0437,ACH
39,904,943,CB0159,GABA
5,14,19,mAL_f2,GABA
8,52,60,SLP236,ACH
5,13,18,mAL4,GLUT
19,54,73,CB0437,ACH
71,7,78,AN_GNG_PRW_1,GABA
6,41,47,mAL_f2,GABA
8,10,18,mAL_f2,GABA
38,6,44,AN_multi_96,ACH
6,20,26,CB3464,GLUT
132,11,143,VP5+Z_adPN,ACH
43,909,952,CB0159,GABA
15,5,20,AN_multi_116,ACH
5,11,16,SLPpm3_H01,ACH
7,6,13,SMP286,GLUT
20,6,26,CB0407,ACH
13,122,135,AVLP315,ACH
6,6,12,CB0248,GABA
16,17,33,mAL_f2,GABA
34,53,87,AN_GNG_PRW_3,ACH
14,5,19,LHAD1f4b,GLUT
46,15,61,AN_GNG_PRW_1,GABA
5,7,12,LHAD1f4b,GLUT
48,13,61,PhG13,ACH
11,7,18,CB0183,GABA
50,5,55,CB0627,GABA
19,54,73,SLP234,ACH
6,5,11,LHAD1f4c,GLUT
11,6,17,CB2145,GLUT
7,6,13,AN_GNG_PRW_4,GABA
47,8,55,CB0541,GABA
6,123,129,AVLP315,ACH
17,5,22,CB0011,GABA
6,33,39,CB0099,ACH
5,11,16,SLP005,GLUT
57,206,263,CB0550,GABA
8,5,13,V_ilPN,ACH
46,7,53,SLP216,GABA
5,94,99,SLP236,ACH
8,6,14,CB1032,GLUT
11,7,18,AN_SLP_LH_1,ACH
11,6,17,mAL_f2,GABA
5,74,79,AVLP443,ACH
16,33,49,CB0183,GABA
6,6,12,DNpe007,SER
169,16,185,CB0653,GABA
34,62,96,VESa2_P01,GABA
5,19,24,SLP212c,DA
14,85,99,VESa2_P01,GABA
21,5,26,CB0062,GABA
33,100,133,SLP234,ACH
173,5,178,CB4188,GLUT
5,9,14,CB0444,GABA
5,5,10,CB2688,ACH
17,5,22,CB0445,ACH
51,9,60,SLP216,GABA
16,7,23,AN_multi_18,ACH
